ID,Why_1,Why_2,Why_3,Why_4,Why_5,What_1,What_2,What_3,What_4,What_5,Question_1,Question_2,Question_3,Question_4,Question_5,Rater_1,Rater_2,Rater_Match,
72,Our courses continue to grow such that even 400+ student courses are the norm and ~1000 student courses are not that unusual.,"Similar to above, our courses continue to grow so we are hiring more and more undergraduates to help us teach. As we change our teaching practices, how do we train these undergraduates so that they best support the new teaching methods",We do not have a body of evidence to inform decisions about what languages to teach or to study transfer of knowledge between languages. We don't have our conceptual equivalent of Newton's three laws or Evolutionary theory,Most research have shown that active learning and other evidence-based practices improve students' outcomes at the end of a course but we don't know if these changes have any long term benefit to students,"I'd love to have students code or create visualizations in class, but I find that having computers is generally more distracting than beneficial",I would explore ways of modifying my own teaching practices and incorporate them into my faculty development work.,Train my own course staff differently and feed the information to our college's TA training program.,Reorganize course content and plan my own research studies.,Advocate for teaching practices that have lasting impact,Change my course policies and practices for computers in the classroom,"What are effective teaching practices for teaching at scale (i.e., >200 students at a time)",How can we quickly and effectively train undergraduates to be good learning assistants?,"What is the conceptual structure of computing? Put another way, what is an empirically defensible definition of ""computational thinking?""",What are the long term impacts of evidence-based teaching practices?,What are best practices for using computers in the classroom?,2,2,TRUE,
73,CS enrollment is at a all-time high and CS proficiency for the general college student population is important for the current job market. How can we open the doors to service many students without sacrificing educational quality?,"I'm interested in interdisciplinary CS courses that try and reach a student population that initially have no idea about computer science and/or think it's ""not their thing"" (when it actually may be).",Help students build confidence in their ability to pursue a career in the tech industry.,"This is a major debate and I don't know the best answer to this. Measuring success rate and/or specializations based on a student's familiarity with a language will be interesting if it can be effectively measured. I've observed pros / cons with specific languages. For example, learning Python first makes strictly typed languages harder to adapt to in future programming courses. Learning C/C++ first is a very high learning curve, but students generally have a better grasp at other languages such as Python / Java.",Some research has shown that games can teach CS concepts implicitly by working on completing a goal. ,Implement best practices within our own department to serve the general campus population.,"Try to offer more non-traditional courses that can be applied to many fields of study, while teaching CS to students outside of STEM.","Improve the classroom environment in my courses that will promote self-efficacy. This can be done through assignments, interactive lectures, and team work.","Depending on who the target students are in a specific course, teach a language that will prepare them for success in upper-division courses and the workplace.","By knowing the most effective ways to do this, I can a) have students develop games teaching CS concepts and b) use the game to teach students CS concepts.",What are the most effective ways to scale CS education to reach the general student population?,"What are effective methods to teach CS outside of the traditional STEM environment for students who learn differently than STEM students (i.e. art, music, literature, ...)?",How does self-efficacy improve the chances of success in the CS workforce (including academia and industry)?,What are the most effective programming languages for different levels / specializations in a University curriculum.,What are the best ways for video games (either through playing and/or developing) to teach CS?,2,2,TRUE,
74,So that I can apply these techniques in my course(s) and decrease the drop rate.,To increase diversity in our CS program.,I'd like to know how much help is too much and adjust strategies for helping regular visitors to office hours.,0,0,"If possible, I would apply the appropriate techniques to online courses that I teach.","If possible in my environment, apply those techniques.","Adjust office hour policies, if necessary/possible.",0,0,What concrete measures can be taken to reduce the drop rates in online courses?,What can I do in CS1 to attract women and other minorities to the CS major?,Students often seek help in courses and some seek help repeatedly.  Does regular help from TAs/instructors help or hurt students who are struggling to master course material?,0,0,2,2,TRUE,
75,Because researchers don't know what is useful for us (as research software engineers) and usually gave us wrong information (so we waste our time...),"The technological knowledge of a researcher is what he/she has learnt during his/her studies and during the very first years of his/her research life. You can take a snapshot of ""this knowledge"" and it does not evolve. They become very quickly ""obsolete"" and I would like to understand how we can change it. They don't have time to follow 1 or 2 days workshops, don't really need to learn themselves but should be aware to avoid saying stupid things and teaching wrong things to younger generations.","Because most research codes are very inefficient (performance + energy efficiency); users obviously don't understand how a computer is ""organized"" and how it impacts the performance and energy consumption. We try to teach potability as much as possible but we often need to optimize our code. I don't know what is the best approach for teaching this topic. It is difficult to have hands-on on debugging, performance analysis, optimization with ""fake"" codes but hands-on with user codes are often difficult to manage. I wonder if having studyGroup/Hacky hours would help.","Because students learn python or matlab and as soon as we switch (or mix) with C, C++ or Fortran, they are completely lost. In terms of syntax, it is not very different. ",Because it looks like researchers are stuck we what they have learnt. They are usually unable to move and learn quickly another programming language. So it means what we teach is not good enough. ,"Be more efficient and save lots of time! I would love to have a set of ""Carpentries-like"" lessons on several research fields based on the experience of other research software engineers. ",Take appropriate measure to disseminate information to researchers.,I would change my strategy to teach performance analysis and optimization and show how energy consumption can be impacted too.,Maybe I would start having workshop centered around data for a given discipline where we learn a compiled language. But which one?,Teach what needs to be taught to make researchers more independent from the programming language they have learnt.,What do I need to learn from your research field to be able to write proper research programs in your field?,How can researchers be aware of technological changes?,How important is it to understand computer architecture to write efficient codes?,"Do we need to teach a ""compiled"" programming language? And if yes when? After teaching python?",What do we need to teach researcher so they can move from one programming language to another?,2,2,TRUE,
76,"I think computing is an invaluable skill and the earlier people learn it or are exposed to it, the better.","To know if ""not getting it"" can be addressed as a teacher or if it's too late (and preparation was needed before)",A benefit of learning computing is it helps learners better understand and solve problems. Leaners who appreciate this see the transferability of skills in other contexts useful for them. Is there an opportunity to expose a wider audience of learners to these valuable skills?,0,0,"With respect to computing education, encourage high schools to better integrate with and prepare for university education",0,0,0,0,Are there topics or skills that can be taught before students start university that would better prepare them to learn (or appreciate) computing?,"Can learners who say they don't ""get"" computing change their attitude and ""get it""? What can teachers do about it?",What topics or skills in computing are general or transferable enough to be taught in courses of other disciplines?,0,0,1,1,TRUE,
77,"Often time introductory programming proceeds bottom up, but I would like to know if holistic, top-down, approach would benefit to students to get a good overall picture of programming.","I would like to know, for instance, if students commonly critisize situation where they cannot rely on examples","It would good to conduct empirical, diagnostic studies by which national overviews with regional differences are possible.","Media environment has changed by the years. For this (and many other) reason, it would be interesting to know how much students suffer from procrastination and lack of concentration.",I think student as a researcher is underused potential in computing education. Involved in research. Students would receive a holistic view of the profession and identities therein.,Inform understanding of programming education,Transition from schools to university would be better understood. School work tend be about 'information transfer' and this previous experience may have impact (anecdotally it has) on students' reactions to open-ended assignment ,Inform curriculum design  and implementation in schools,Advance basic research and inform pedagogies/didactics of programming education.,Understand how to increase students' conceptual/holistic interest in the field in place of mere occupational prospect.,How programming should be taught?,How students respond to open-ended exercises in programming courses?,How programming is being implemented in schools?,What is the impact of procrastination and other related attributes on introductory study on programming?,How to involve students in professional research in computing curricula?,1,1,TRUE,
78,Active learning is a popular teaching strategy but seems to be under utilized in computer science.,To know how best to access students in an exam setting.,To better design lab sessions.,0,0,Possibly change how I go about implementing active learning in my class room.,Possibly change how I give exams.,Change how my lab sessions are designed.,0,0,How can active learning approaches be effectively used in university level computer science courses?,Do practical exams (e.g. students solving a given problem at a computer) have any benefit over traditional writen exams?,What are the best practices for instruction in a computer lab setting? ,0,0,2,2,TRUE,
79," I cannot teach everything at once, although everything is related to everything else.",I spend a good amount of time teaching students to draw these and use them in hand simulation.,It would affect how I would teach this important topic,To learn programming you end up making lots of mistakes and hopefully learning from them. Some students look back at all the mistakes they made, others at all the mistakes they corrected/overcame. Can we predict based on some general assessment of how they view mistakes?,0,Change the order I teach things.,Determine whether to keep sinking time in this activity.,Change how I teach,Tell my students.,0,In what order should topic X and Y be taught?,Do data diagrams help students understand language features and code simulation (when system provided or students taught to draw themselves),Are recursive functions best written/understood/debugged by using proof rules (like induction) or hand simulation?,Does the way students view making mistakes predict how much they enjoy courses teaching programming.,0,2,2,TRUE
80,"There seems to be few to no guidelines on how much to teach and how quickly. Some papers have raised the idea that we demand more than is reasonable out of introductory students, and this harms them more than helps them. I hypothesize that by assigning less work and giving students more time on a smaller set of topics, we could see long-term improvements in retention, motivation, and learning outcomes.","Expert instructors develop a mental collection of common student misconceptions and how to get learners past them, especially as they teach the same curriculum over again. It seems like we need to stop leaving this in people's heads and start sharing it, so we can make progress on improving curriculum.","Long projects are the most authentic task and assessment we can give students, but huge swathes of learners mess up these projects in ways that go beyond just writing syntactically correct code. They start late and burn themselves out in bad coding sessions.","Instructors are often designing new curricula and trying new things, without results being meangingfully reported back to the field. Efforts like Nifty Assignments and the Canterbury Question Bank are positive efforts in encouraging reuse and meaningful capturing of instructor content, but it is still on a limited scale. It seems like there are a number of natural barriers discouraging instructors from disseminating their materials - if we want to stop reinventing the wheel, we need to remove these barriers.","A while back, there was a controversial ACM Blog Post about how fMRI studies were suggesting that learning to program was more like learning a language. Many CS Ed researchers argued about the accuracy of the claims, but I don't think either side was able to show anything conclusive. If the hypothesis is true, then we should be doing a lot of different things to help students learn new programming languages - we would probably need to revise our entire first pair of CS courses.","With this answer, I will force my department to teach less at a more moderate pace. Unless it turns out that faster is better, in which case I would teach more than I currently do at a faster pace.","With a solid collection of misconceptions, not only can I teach more effectively, but I can prepare tools and materials to help other teachers more effectively.","Not only can we use these assessments more effectively, but it seems like we'd be giving students self-regulation skills that would serve them tremendously down the road. I know I'd adjust my teaching considerably to rely more on projects for assessments.","The amount of time I dedicate to building redundant ""new"" materials would drop considerable. I could focus more on research and developing actually new materials, or revising existing materials.","We would need to totally revise our introductory classes. This would probably be an entire new direction of research if it held up, and the number of implications are hard to fathom. Most of all, we'd probably stop being embarrassed about teaching so much syntax and grammar in our CS1.","In terms of longitudinal motivation/success/retention, what pacing (amount of work, number of learning objectives, strictness of exams, etc.) is most appropriate for introductory course sequences (CS1-CS3)?","What are the most common student mental misconceptions disrupting students' notational machines, and what teaching methods and course design decisions can be used to get over them?","How do we get students to develop good software engineering habits when working on longer term projects, including avoiding procrastination, using functional decomposition, unit testing, etc.?","How can we make it easier to create, revise, share, evaluate, find, and take credit for curricular materials in the CS Ed community?","Is learning to program like learning a language? If so, what should we change about our teaching style to reflect this?",2,2,TRUE,
81,"Although there are several studies on improving error messages and provision of hinting mechanisms, do such mechanisms provide proper feedback? By proper, I mean feedback that would foster learning, which is not exactly detailing the error or to provide a solution, but to pave a way for learning/achieving the desirable learning outcome.","The patterns within learning data are often difficult to grasp. Although several learning analytics approaches employ data mining techniques, the reasons why some patterns emerge are not clear. Morever, the relationship between some patterns are not easily detectable. ","Long-life learning is a increasingly demand on society. Even on formal learning settings (undegraduation and graduation level), there is a demand for students take an active position on learning. It may be possible to remove the need for professors and teaching assistants from some learning activities without detriment to the learning outcome. Actually, crowdsourcing could be used to improve the quality of the activity, fostering discussion among students.","There are many gamification mechanisms available, but which one is more effective for learning?","Most computing programs have several courses on programming. However, learning algorithms and data structures within self-contained courses hinders the application of learning outcomes into actual problems. There are some initiatives on teaching such matter on a data science context, but that is still not widespread.","Considering the relationship of feedback and learning outcomes, I would use choose feedback mechanisms considering the results of learning/assessment activities that could provide a suitable means to achieve the learning outcomes.","Proper visual data mining techniques, considering multidimensional data along time, could provide insights on learning data, providing new means to explore and improve learning activities and, more specifically, assessment activities. This could be valuable for MOOCs and other initiatives with many students (and few professors and teaching assistants).","Several programming assignments requires an oracle to evaluate the correctness of every submission. Crowdsourcing could replace such oracles, evaluating the submission against others students' solutions. Considering a scenario on programming and software testing, this is feasible.",Gamification could improve the motivation and the outcomes of learning activities. I would implement gamification for assessment activities regarding programming.,"Design a curriculum without such courses, but with integrated projects, either in the Computing or in the humanitarian context (similar to Humanitarian FOSS Project), that requires learning such concepts and skills on Computing.",How to provide relevant learning feedback to students?,Does visual data mining help at learning analytics?,Can crowdsourcing replace professors (for some learning activities)?,Is gamification effective?,"Why do we have CS0, CS1 and CS2 courses?",2,2,TRUE,
82,I have had students that have learning disabilities that I have been unable to help understand some computing concepts.,Growth Mindset has been a hot topic in my district and I wonder how much influence it has.,I want my students to be successful.  If I can pinpoint an introductory topic that is problematic then I can spend more time using activities so that the students will struggle less.,0,0,Apply the answer to the students in my classes.,If it has a big influence that I will add Growth Mindset lessons in my computer science class.,Spend more time on that topic and increase the number of learning activities.,0,0,What are the best teaching strategies to use for students with disabilities?,Does infusing Growth Mindset instruction into a Computer Science class improve student outcomes?,In high school which topic is the more difficult for the students to grasp?,0,0,2,2,TRUE,
83,"Admission and teaching strategies could be improved, carriers of students properly managed.",0,0,0,0,see prev. reply,0,0,0,0,Are there academic and other backgrounds and characteristics that are not conductive for becoming a successful computing professional that can be recognized early on? Are these removable/treatable/removable/can they be overcome?,What learning and teaching approaches work best in computing education?,0,0,0,0,0,TRUE,
84,I'm mainly a maths teacher and teaching both subjects can see strong links,0,0,0,0,While I don't think one needs maths to be a programmer I'm interested in seeing if working through a language like Scratch can improve ones maths skills. Evenmin my maths classes I introduce some scratch. ,0,0,0,0,Can learning to programme benefit students with their mathematics?,How can the programmning concepts between a programming language like Python ,0,0,0,0,0,TRUE,
85,I've got a daughter :) ,Improving reproducible research,Teaching code,Because everyone who can be a user should be able to be involved in building software,0,Teach my daughter to code as best as I can,Implement these methods in courses I develop,Use the results to develop courses to teach coding better,Guide people to contribute,0,"What is the most effective way to teach children to program? Is it by building games, coding robots to do cool stuff, or writing apps? Does the answer vary by age, gender or parental socioeconomic status?",What methods can we get to have researchers be more willing to incorporate code into their lives?,"What is the best way to learn about algorithms in a compsci course? Coding from scratch? Pseudocode? Should we cover more algorithms less deeply, or code 2-3 from scratch?","How can we encourage people outside of the ""traditional"" compsci background to contribute to FOSS projects, and make it a welcoming space for them to do so?",0,2,2,TRUE,
86,"I get good reviews from students but I'm not sure if it is ""charisma"" or if I am really making a difference in their ability to code.","I've noticed that students are a lot more self-sufficient in answering questions with the help of Google, online courses and stack overflow. I seem to get less questions but I'm not sure if that is a good thing or a bad thing!","In an era of Google, the ""professor"" no longer stands as a source of truth. I want to know whether I should be encouraging discussion and letting students teach each other, or is it more effective to embrace online and have them discover ""truth"" through independent study.","I fear that some of my talented students have learned how to look like they're engaging in reflective practice, but they're just going through the motions.","I don't know if I should teach and assess CS theory to a level where I am confident students can apply the material, or if it is enough (especially in an age with Google and Wikipedia) to ensure familiarity with the names of the branches of computer science and an awareness of when the theory might be applicable -- so that my students can look up the theory online when they actually need to use it. There is plenty of theory I never learned when I was a student, but I believe I'm still effective because I can look it up on a just-in-time basis.",Focus on the things that make a difference.,If it is a bad thing -- then do I need to encourage more questions or do I need to teach different content that is more likely to provoke questions?,"I teach some subjects in an old-fashioned way and others in an interactive experiential and experimental way. My gut tells me that while the experiential methods are more fun, they're less effective. The answer will help me decide whether the differences are in the method or in my ability to deliver using the method.",Change the assessment.,"I feel like students aren't really engaged when I talk about theory: if it is because they recognize its irrelevance, then I'll focus more on applicability; if it is because they don't want to work hard, then I'll continue pushing theory.","What aspects of my teaching make any difference in the ability of my students to write code, or does learning to program just require a semester of time and practice?","Why do students ask for help in lab sessions, and are questions a sign that things are going well or not going well?",Does social constructivism make sense for teaching computing? ,"How do you assess behaviour change in reflective practice? i.e., How do you tell the difference between students who are engaged in genuine reflective practice and those clever students who have learned the right language and words to pretend that they're engaging in reflective practice only to ""please"" the marking criteria?",How does computer science theory actually help developers?,2,2,TRUE,
87,Because of the volatile computing industry,People learn 1 or 2 languages and stay with them,Learning a skill and then not using it could cause wrong management decisions,0,0,See if I can incorporate it into my cirriculum,If we can know why and understand the way it is being taught we will prepare a better student for the market,We could adapt courses so people understand that keep using a skill is very important to make right management decisions,0,0,Can students that learned computer science adapt quickly to changing market conditions?,Can students easily switch between programming languages and environments,Do people use programming after moving into management,0,0,1,2,FALSE,
88,Cross Curricula application of general learning,"Technology is rapidly changing, does learning about technology that came prior to the current make any difference to understanding modern technologies","There seems to be a snobbery about starting kids early in text language, like it is somehow better the earlier they start. I don't think they should start too early",0,0,Unsure,unsure,Unsure,0,0,How can learning programming concepts assist learning in other areas,IS learning about older technologies useful,Around what age is it appropriate for general ability students to be exposed to text based languages ,0,0,0,0,TRUE,
89,So I can structure my teaching and course to best meet the needs of my new programmers,"because I dislike scratch and avoid it, but will use it if that's the best thing for the students",0,0,0,"create a viable progression from basics through to advanced, starting then off in the best way to ensure success from the start",start introducing scratch instead of jumping into Python straight away,0,0,0,What is the best way to teach programming to first time programmers with no previous experience,"Should I teach scratch or other drag and drop methods rather than ""pure"" programming?",0,0,0,2,2,TRUE,
90,To adapt to the target audience,For diversification and encouragement,We need more women representation,0,0,Put more enfasis on the background they need before teaching something new,use it to target participants,Encourage a more diverse presence in computing,0,0,What programming experience do participants have before attending a peogramming workshop?,Why do men are more likely to take a Python course than an R course?,"How to find women programmers, or better expressed with programming skills?",0,0,2,2,TRUE,
91,I teach coding to Junior Cycle students. I believe there is so much scope for learning programming concepts through Scratch.,"I teach Mathematics (all levels at post primary) and Coding (Junior Cycle and TY). I often use Scratch in Maths classes. While I appreciate that one doesn't necessarily need maths to do programming, nevertheless I think programming can help maths skills.","Key skills are embedded in the new Junior Cycle curriculum, e.g, working with others, creativity etc. I'd like to see how coding could be introduced into a maths class to further embed some of these key skills.",0,0,Use it in my teaching. Would like to be able to link Scratch and Python - for when I go to teach Python.,Introduce more coding into maths classes. E.g. when talking about variables in Algebra. ,Look at ways of using coding more in a maths class (not just in coding class) - how can it help my students visualise their maths?,0,0,"How can Scratch help learners with programming concepts such as loops, conditionals etc? Will this help them when learning python for example?","Can programming help students in their mathematical learning e.g. coordinate geometry, geometry (angles) etc?",Can programming help improve any of the key skills?,0,0,2,2,TRUE,
92,Required to propose and implement curriculum and scheduling,Would like to focus face-to-face efforts on more interesting topics than basic/intro material,Biologists are making a terrible mess with their data.,"There are many abstraction layers - many students are rushed to learn coding practices before understanding fundamentals of how a computer works, consequently have to unlearn misconceptions down the road.",0,Adapt curriculum accordingly,Potentially push more basic/introductory material to self-guided material,I'd rather not spend my time cleaning up the terrible mess made by biologists.,Develop better prerequisites and supporting documentation for scientific computing courses. (especially introductory),0,"Are short, condensed courses (a few consecutive days) sufficiently effective (wrt learning outcomes) to continue developing? Do the pros outweigh the cons?","To what degree, and how, should self-directed learning be used to complement face-to-face?",How best to integrate data management practices with computing/programming?,What are the essential core competencies about computing (computers) that should be acquired before starting to learn programming?,0,2,2,TRUE,
93,How education is taught shapes future standards and by implication future research,In my opinion knowledge retention is a critical success factor in building the initial knowledge base for students,The purpose of computing education is to prepare our students to be ready for the actual demands of industry. if educators have a different perception of what is important then there is a risk of misalignment,0,0,Alter my teaching methods or introduce alternative methods,Alter my teaching methods or introduce alternative methods,Alter my teaching methods or introduce alternative methods,0,0,"In your opinion does teaching programming using drag and drop or graphical GUIs contribute to good versus bad habits, advance or retard understanding of concepts or have any significant overall impact on longterm reduced learning progress ?",Would you agree that application based teaching enables more sticky knowledge transfer than pure theoretical approach?,"How relevant are lessons from actual industry experience and by how much should the practical application of industry experience influence teaching methods? e.g. on a scale of 1-5 where 1 = not relevant whatsoever, 5 = should be used to shape course content",0,0,2,2,TRUE,
94,The answer to this question will shape the skills we need to give computer science today.,"I am exploring this approach to my courses, and would love any research to further how I use this technique.",To help prepare my students for entry into university.,To allow me to supplement my existing teaching with additional focus on those skills.,I want to prepare my students to be successful when they reach the workplace after university.,I suspect it could shape how I teach computer science today. I am thinking I would like to provide input to the Ministry of Education about the future of the Computer Science curriculum as well.,Use it to improve my current teaching methods.,Add any missing components to my teaching.,Include specific instruction/learning opportunities in those skills.,Possibly modify my courses to ensure that students are gaining the right skills and attitudes necessary to be successful.,What will programming look like in 10 years?,How can project-based learning be most effectively used in teaching Computer Science?,What concepts are taught at the university level?,What one skill (programming or otherwise) do universities feel is missing from students entering a computer science program at university?,"While we keep hearing that there are increasing shortages of skilled people in IT fields, it seems like many people with those skills are having difficulties finding jobs. How can we best close that gap at the high school level?",2,2,TRUE,
95,"There seem to be two conflicting ideas in teaching programming. One is that we should be doing it more and sooner, that it should be part of a degree program at least. However, when we teach courses, we focus heavily on motivating our programming at the beginning of a lesson lest the students not care enough to learn it. It seems strange to think that many/all students should be exposed to programming, but that adults who voluntarily take a course like SWC need constant motivation to be bothered to learn a skill they presumably need at this point.   ","Obviously, if we want to teach programming before people know what problem they're going to solve with it, we want to teach them a language that makes future languages easier.","There's been a lot of twitter debate lately about whether Jupyter is useful, but I don't think I've seen any evidence",0,0,"I would like to develop/pitch teaching programming for biologists as part of a 4 year degree, but there's very little evidence to point to that suggests it's worthwhile. Is it?",potentially rearrange curriculum ,potentially change curriculum,0,0,"Is there a benefit to teaching coding early and often like we teach other basic subjects (math, writing, etc)?","Is there a 'best' starter language(s)? A language or languages that make it much easier to learn a second one? Conversely, are there 'bad' starter languages? Ones that give little or no advantage? ",Do notebooks (like Jupyter) enhance learning?  (Over learning the same language without a notebook),0,0,1,1,TRUE,
96,There is a lot of research on learning. I want to know how to best interpret that work for the context of learning CS,"This is a very broad question and hard to answer. But once we know the answer for a specific kind of ""hands-on"" learning (lecturing, one-on-one interactions, etc.) it'll be inform what I should and should delegate to automation",0,0,0,"Once I know how to better interpret that work, I will be better able to apply the results to my classroom.",It would inform what I should spin off to automation and what I shouldn't.,0,0,0,What are the fundamental differences between learning CS versus general education?,"What aspects of learning needs to be ""hands-on"" with the teacher (and therefore can't easily scale) versus done by a computer?",0,0,0,2,2,TRUE,
97,To be able to make my practice reflect research.,I want to be able to offer material relevant to the modern market.,Adjust AP CS instruction or my class at Ada,0,0,"Adjust instruction, maybe adopt Scratch or Alice.",Perhaps offer a new course.,Adjust instruction,0,0,"What is the advantage of visual programming models (scratch, Alice 3D etc)?  How much of a benefit do they provide?  Does age matter?",What computing trends are growing?,What are the most effective ways to teach data structures?,0,0,2,2,TRUE,
98,"If k-8 CS fundamentally raises expectations to learn Math + CT rather than pre-computational Math, a 5-7 year lead time will be necessary to develop, test and roll out Math + CT in grades 9-12","Girls are not choosing CS courses in parity with boys.   Our prelim results indicate that girls who are confident about their math abilities can alternatively enter CS by studying Math + CT.   If this result can be validated, it could open up study opportunities for girls.","I have anecdotal info from talking with CS Professors that the answer is ""no"".   Some specifics they would like to see are formal proof experience, in particular into developing proof-of-correctness/completeness analyses for algorithms, such as would be learned in 9-12 Discrete Math + CT , Algorithmic Geometry, and Computational Statistics",Many undergrad educators are frustrated with the poor 3D skills of their students (especially in STEM majors),"I have serious concerns that ""turtle geometry"" is a deficient foundation for learning spatial math.   The modern approach is to adopt a vector-based math foundation in 2D that scales up intuitively for use with 3D.","If answered in the affirmative, I will have a strong case to take our Algorithmic Geometry w/ Java course (piloted 2 years in public school) into a dissemination phase.","If answered in the affirmative, I will have a strong case to take our Algorithmic Geometry w/ Java course into a dissemination phase.   I am considering founding a Computational Math Institute that would develop additional 9-12 Math + CT courseware, and primarily train credentialed Math teachers.","Work with colleagues who are pioneers in Math + CT courseware to expand study opportunities, including 9-12 college-prep CS majors.","I would have a strong argument for 6-12 schools to be purchasing computing gear with 3D graphics acceleration.   One casualty of the ""chromebook"" purchasing trend is buying machines without 3D graphics chips based on lowest cost.  Also, it would strengthen demand for courseware such as our Algorithmic Geometry, which immerses students in 3D sketching, visualization, and 3D graphics programming.",Build a stronger argument for a 6-12 mathematics foundation based on Cartesian coordinates and vector geometry coupled with software authoring.  Provide a more general/extendable alternative to turtle geometry.,Does multiyear study of CS before grade 9 raise expectations among students that 9-12 math be revised to incorporate CT?,"Does Math + CT offer an alternative ""on-ramp"" to software design able to attract girls and boys in equal numbers?",Are undergrad CS programs satisfied with the math abilities of incoming freshmen?,"Are 9-12 placing adequate emphasis of 3D spatial reasoning, sketching and visualization?","Does the ""2D turtle graphics"" paradigm employed in CS courses, and vested in Scratch, Snap!, Blockly, Logo, Khan Academy CS..., provide a natural extension into teaching 3D geometry?  Or, does ""turtle graphics"" leave CS students ""stuck in 2D land""??",1,1,TRUE,
99,"We spend a lot of time makng games in high school, because they seem to be more applicable, but does that help in preparing them for CS and Engineering.","Many students do not have time to fit all of grade 10, 11 and 12 courses in their schedule. Which language will have the greatest impact and best understaning of programming conepts.",Some schools are starting to experiment with combining courses to do a program in CS after a specific topic/unit in Math or Physics was taught to show a relevant application.,"Athough highschool CS courses are not ""required"" I would like to know what concepts we should focus more on in high school courses to help undergraduate students.","It could help recognize a list of recommended ""prerequisite"" skills for students to have or work on.","Games are easy and fun ways to learn programming, so I would incorporate more. I'm afraid parents and other stakeholders would not count it as ""real life"" experience.","We are very flexible in what language we use, as long as it's available on our networks. I may adjust my courses.",I would be open to considering combining courses,It will be helpful to have a guide of what areas we should spend more time on.,Create a list of required skills or taining resources to help develop the skills,"Will learning how to program using games, such as Scratch, GameMaker or Unity help students with in-depth understanding fundamental concepts in programming?","If students are to take only one course in CS, which language is the best to use (at grade 10 or 11 level)?",Is there an advante to running split courses (ex Math and CS or Physics and CS) for a group of students. Does it help them apply the CS knowledge while helping to understand the other subject?,Which concepts are the hardest for university students to grasp? How can we prepare them?,What skills or indicators can be used to predict if a student will be successful in a CS course?,2,2,TRUE,
100,There is a lot of arguments online that learning something like react or angular before having a deeper understanding of Javascript itself is detrimental to the learner.   ,Do we make programming harder to learn by picking a certain language or things to build that an individual will have a hard time learning?,0,0,0,I would like to inform the decisions of the curriculum I help teach with how much of the language should we teach before jumping into tools to help students build stuff,I would use this information to help tailor coding resources and exercises to help different people learn,0,0,0,Is there a negative effect on learning a framework or library of a language before learning more of the language itself,Is there an easier way or a better language to teach someone based on what kind of person they are?,0,0,0,2,2,TRUE,
101,"Teaching functions sooner might help students begin to think of problem decomposition and abstraction sooner (without using that term in class), but they may need more concrete tools with which to write meaningful functions.","FP enables students to draw on their arithmetic background, deal with fewer concepts, and start from a more level playing field(?) than imperative-first. But perhaps it is too abstract to engage students?","Types that are manifest in the code offer students support, but they also require deeper consideration of a new concept earlier and make it harder for novices to get their programs to run.","Like types, unit testing adds extra concepts for students to master, but encourage students to think more carefully about what they expect their code to do.",The distinction between good and bad design depends on the context of the program and on the programmer's experience. Yet we all seem to want software developers who think about their designs and make trade-offs suitable to their conditions.,Choose an ordering for my CS 1 course.,Take it into account when doing the next major re-design of our core curriculum.,Take it into account when selecting languages for CS 1 and future courses.,"Perhaps introduce unit testing earlier in the curriculum, perhaps even in CS 1.",Modify our more advanced courses that involve writing non-trivial programs.,Is there an optimal order for teaching students to write and use loops and teaching students to write and call functions?,What are the benefits and drawbacks of teaching functional programming first (before imperative programming)?,What are the benefits and drawbacks of manifest types for novice programmers?,Can instructors use unit testing effectively in a first course to help students build more correct programs sooner.,"What kinds of teaching methods or student projects are most effective at helping students to learn a ""design sense"", that is, a sense of good and bad design?",2,2,TRUE,
102,Have tried various methods and once students start coding their algorithm work decreases and they start coding without having a valid algorithm,Would like to know how to increase students algebraic skills and computational thinking skills,Computational thinking should be integrated with all high school courses since technology is part of every day life.,0,0,Change the way I teach algorithms,Use these methods to become more effective ,I do integrate technology in my teaching and want all content area teachers integrate technology into their teaching and not just for technologies sack.,0,0,What is an effective method to teach how to create algorithms prior to coding?,How to teach to increase computational thinking skills to high school students weak in algebra?,Ways to integrate computational thinking in all contents in a high school curriculum.,0,0,2,2,TRUE,
103,"The rise of very large programming courses has led to a near total reliance on autograders instead of human feedback. In industry, code quality is important, so it would be useful to know if current educational practice supports development of good development practices.","First, I have started to do some research in this area because I think it is an important question. Many faculty members have never worked with largescale code and may see different things as important when it comes to high quality code. My hypothesis is that industry professionals see quality in terms of larger scale concepts such as straightforward design, testability, and ease of modification.",0,0,0,I can decide whether to move to autograding or not.,It helps inform my own research,0,0,0,"What is the impact of using autograders in programming course (as opposed to instructor provided feedback) on the quality of student programs? In other words, does human feedback, especially on programming style (readability, straightforward design, etc) make a difference?","What defines ""good quality software"" for faculty teaching programming courses and how does this compare to the way that professionals define good quality code?",0,0,0,2,2,TRUE,
