ID,ParticipantID,QuestionID,Category (BB),Category (MC),Category (GW),Category (PD),Categories,UnifiedQuestion,RawQuestion,Why,What,
188,91,1,Pipeline,Awareness,Pipeline,Pipeline,Awareness,What programming experiences do people most often have before attending their first programming workshop?,What programming experience do participants have before attending a peogramming workshop?,To adapt to the target audience,Put more enfasis on the background they need before teaching something new,
189,79,1,Pedagogy,Pedagogy,Pedagogy,Pedagogy,Pedagogy,How can active learning be used most effectively in college-level computing courses?,How can active learning approaches be effectively used in university level computer science courses?,Active learning is a popular teaching strategy but seems to be under utilized in computer science.,Possibly change how I go about implementing active learning in my class room.,
190,6,1,Pipeline,Pipeline,Pipeline,Predictors,Pipeline,What impact (if any) does the language learned in high school have on students’ conceptual understanding of computing at college?,Does the programming language students learn at high school have any impact on the depth on which they understand programming concepts when going to university?,To understand which languages best teach programming knowledge and skills.,Potentially modify teaching program to include languages which create best understanding.,
191,38,2,Pedagogy,Curriculum,Pedagogy,Curriculum,Curriculum,What are the relative merits of teaching children logic vs teaching them programming?,Should children learn logic - not programming?,I think it is more significant initially to learn logic and not logic and programming simultaneously.,I will apply in practice,
192,3,1,Engagement,Engagement,Inclusivity,Awareness,Student Behavior,Why do students take computer science classes at university?,What draws students to taking computer science at University? ,"Ws there something that happened at secondary school that got students interested, or was it a first year paper at university that drew students to taking computer science?",To see the impact of computer science courses in secondary schools.,
193,100,4,Mental Models,Curriculum,Mental Models,Mental Models,Student Understanding,What fundamental programming concepts are the most challenging for students?,Which concepts are the hardest for university students to grasp? How can we prepare them?,"Athough highschool CS courses are not ""required"" I would like to know what concepts we should focus more on in high school courses to help undergraduate students.",It will be helpful to have a guide of what areas we should spend more time on.,
194,7,2,Curriculum,Pipeline,Languages and Tools,Languages and Tools,Languages and Tools,At what age is it appropriate to introduce text-based programming tools?,At what age is it appropriate to introduce text based programming,"Primary students know ""Scratch"" and not much more",Closer ties with primary and improve students computational thinking skills,
195,105,2,Pipeline,Pipeline,Pipeline,Pipeline,Pipeline,How many students are retained in each level of a typical college computing program?,How many students take each level of a college computing curriculum. ,It would be interesting to know the barrier for students advancing to upper level courses.,Evaluate the course where most students leave the track and make changes for student retention. ,
196,11,5,Engagement,Engagement,Student Behavior,Predictors,Engagement,"What features of classes, students, or pedagogy most affect attendance, engagement, and performance?",What features of classes / students / pedagogy / instruction moderate the relationship between attendence / reading / activity-engagement and course performance?,To understand how to teach better,Hopefully teach better.,
197,8,1,Inclusivity,Inclusivity,Inclusivity,Inclusivity,Inclusivity,What influences girls’ decisions to take K-12 computing classes?,How can we attract girls into computing?,Our school struggles to attract girls into digital computing and especially computer science,see if will work at our school,
198,102,1,Pedagogy,Curriculum,Pedagogy,Curriculum,Curriculum,"What is the best order in which to introduce control flow (e.g., loops) and functions?",Is there an optimal order for teaching students to write and use loops and teaching students to write and call functions?,"Teaching functions sooner might help students begin to think of problem decomposition and abstraction sooner (without using that term in class), but they may need more concrete tools with which to write meaningful functions.",Choose an ordering for my CS 1 course.,
199,62,3,Pedagogy,Pedagogy,Pedagogy,Curriculum,Pedagogy,What are the benefits of using large projects in class when teaching computing?,Should we be teaching coding through big projects so they learn organically or should there be more of a structure.,Is there certain skills that are crucial  that students know well before diving into project based learning. ,change the order of how to deliver the curriculum.,
200,105,3,Curriculum,Curriculum,Curriculum,Pipeline,Curriculum,What are the most important things that students finishing college-level computing programs still don’t understand?,What is the most important thing that students finishing a four-year degree still don't understand about computing?,I want to know what skills are necessary in the workplace but are not taught in 4 year degree programs. ,Add courses on these real life problems or incorporate the problems as labs in existing courses. ,
201,98,2,Broader Social Context,Broader Social Context,Broader Social Context,Broader Social Context,Pipeline,What topics in computing are going to be more important for students to learn in the near future?,What computing trends are growing?,I want to be able to offer material relevant to the modern market.,Perhaps offer a new course.,
202,61,1,Pedagogy,Pedagogy,Curriculum,Pedagogy,Curriculum,What is the best balance between theory and hands-on practice in teaching students programming?,"How should teachers balance foundational concepts with building tangible outcomes (products), if the latter comes at the expense of the former?",Students who won't go on to have computing be a primary focus in their careers likely have different needs from those who will go on to use computational tools more regularly. How to teach to the former group without depriving them of key concepts that they might be expected to know later?,Adjust the content of my courses,
203,30,5,Poor Question,Poor Question,Poor Question,Languages and Tools,DISCARD,DISCARD,"If we find answers to above (1-3), what would be the best interface to do what we now call programming.","I like programming. But not typing (or not seeing the result of my actions). I am physical, and would like to interact with the computer in a physical way.","I would like to see someone implement a better interface. My days are numbered, otherwise i would do it.",
204,80,1,Curriculum,Curriculum,Curriculum,Curriculum,Curriculum,What is the best order in which to teach basic computing concepts and skills?,In what order should topic X and Y be taught?," I cannot teach everything at once, although everything is related to everything else.",Change the order I teach things.,
205,17,3,Predictors,Predictors,Predictors,Predictors,Student Understanding,Does teaching students computer science theory help them program (either while students or afterward)?,Does studying algorithms and discrete mathematics help students be better computer scientists?,"We spend a lot of time with algorithms and discrete math, like a lot of universities. It's not obvious to me how much of these requirements are historical (because CS depts grew from maths depts) vs essential. That is, how much of it _is_ computer science vs doing math with computer science concepts. To that end, I wonder: what if we set up an experiment where two cohorts went through the same curriculum, except one took these courses and the other didn't. In five years after graduating, could we see a difference in their ability to choose algorithms and data structures? What if it was just one course? etc.",Revise and refine curricula.,
206,60,2,Mental Models,Mental Models,Mental Models,Mental Models,Student Understanding,What incorrect mental models do students bring to their first computing courses?,What are the incorrect mental models that students bring to CS1?,Improve CS1,Same,
207,83,2,Pedagogy,Inclusivity,Pedagogy,Assessment,Pedagogy,Does growth mindset instruction alter outcomes in computing courses?,Does infusing Growth Mindset instruction into a Computer Science class improve student outcomes?,Growth Mindset has been a hot topic in my district and I wonder how much influence it has.,If it has a big influence that I will add Growth Mindset lessons in my computer science class.,
208,92,1,Languages and Tools,Languages and Tools,Languages and Tools,Languages and Tools,Languages and Tools,What impact does learning blocks-based tools like Scratch have on subsequently learning text-based tools like Python?,"How can Scratch help learners with programming concepts such as loops, conditionals etc? Will this help them when learning python for example?",I teach coding to Junior Cycle students. I believe there is so much scope for learning programming concepts through Scratch.,Use it in my teaching. Would like to be able to link Scratch and Python - for when I go to teach Python.,
209,50,3,Professional Development,Professional Development,Professional Development,Professional Development,Teacher Development,(How) can teachers avoid burnout in the face of rising enrolments without compromising quality of instruction?,"Many teachers are seeing large classes, and burnout is a real possibility. How do we realistically set boundaries on the amount of time we spend, without compromising student learning?",The answer is implicit in the question.,"Use it in setting boundaries in my own life (I love my job, but I'm tired of spending evenings and weekends working), and pass it along to others.",
210,26,1,Mental Models,Inclusivity,Mental Models,Assessment,Student Understanding,Does learning programming involve mental barriers that do not exist in other subjects?,What are the mental blocks students have to learning programming that they don't have when learning other things?,"Anyone can learn programming but lots of people (especially ones who are underrepresented in tech) think of themselves as ""dumb"" or that they ""just don't get it""",I want to figure out a way to frame programming honestly as both complex and welcoming,
211,67,1,Curriculum,Curriculum,Curriculum,Languages and Tools,Curriculum,How do colleges justify their choice of their introductory programming language?,Why do Computer Science and Engineering schools teach C as a first programming language?,I presume that the reason is historical. I keep hearing that C is the best option in 2018,Try to change the syllabus,
212,1,1,Poor Question,Poor Question,Poor Question,Poor Question,DISCARD,DISCARD,Ignore - test from Paul,Ignore - test from Paul,Ignore - test from Paul,
213,27,1,Inclusivity,Inclusivity,Inclusivity,Inclusivity,Perception of Computing,Why do some teachers believe that some students “get it” and some don’t when it comes to programming?,Are there only certain types of people that can effectively learn programming? ,"Some students really seem to grasp the concepts and principles of programming, they can navigate the logic better than others. Some students never seem to grasp it. What makes someone better than others at learning programming and how can we identify who is in each category? ","If there are answers to this question, I would like to be able to evaluate students before they start learning and then know which students will have a better go at learning to program. It would help me segment my class and better know how to help those who struggle. ",
214,91,3,Inclusivity,Inclusivity,Inclusivity,Inclusivity,Inclusivity,What can teachers do to improve participation by underrepresented groups in computing?,"How to find women programmers, or better expressed with programming skills?",We need more women representation,Encourage a more diverse presence in computing,
215,72,3,Languages and Tools,Languages and Tools,Pedagogy,Assessment,Student Practices,Does planning a program using pseudocode or flowcharts before starting to code improve students’ outcomes?,Does the use of planning tools like flowchart help beginners learn to code?,"We have to teach planning as it is part of the assessment. However, most students, especially at lower levels, do not like writing down the steps of algorithm in their program. They write the code first then change it back to natural language for the sake of planning.","Thinking ahead is important but I want to find out what kind of planning will help learners develop their programs. I am only talking about small programs for beginners (snippets  of code), not real world program where planning is essential.",
216,116,1,Pedagogy,Pedagogy,Pedagogy,Pedagogy,Pedagogy,What teaching strategies are most effective when dealing with a wide range of prior experience in introductory programming classes?,"What strategies (potentially among current ""active learning"" techniques) are most effective in early programming classes where there is a wide disparity in (programming) experience among students?","There are currently two entry points into the Computer Science major at the university where I am currently teaching: CS1 and CS2 . Students with little or no programming experience enroll in the CS1 course, everyone else is routed to the CS2 course. While all the students in the CS2 have taken some intro programming course, their level of experience varies significantly. I'd like to know how to best serve the majority of students in the class, without alienating those at the tail ends of the distribution.",The answer to this question will inform how I teach my CS2 class,
217,60,1,Predictors,Predictors,Predictors,Predictors,Predictors,"What is the relationship between student demographics (age, gender, orientation, etc.) and prior experience and their success in introductory college-level computing classes?",How does each student's backgrounds/preparation effect their success in CS1?,Improve CS1,Same,
218,30,3,Poor Question,Poor Question,Mental Models,Poor Question,DISCARD,DISCARD,How should time be reflected in computing,Another thing i have not figured out myself. Functional programming with it's concept of immutability is a (tiny) step in this direction,"Build better systems, easier to understand/modify/teach.",
219,24,5,Pedagogy,Pedagogy,Curriculum,Curriculum,Predictors,What is the effect of teaching students with pseudocode before teaching them with a programming language?,What are the trade-offs to teaching students pseudo code before learning a real language?,I believe that understanding how and why a program works is more important than learning a language's syntax or semantics.,I will consider the use of pseudo code as a precursor to actual programming.,
220,104,1,Pedagogy,Languages and Tools,Pedagogy,Languages and Tools,Languages and Tools,(How) do online/automated grading systems for programming affect learning outcomes?,"What is the impact of using autograders in programming course (as opposed to instructor provided feedback) on the quality of student programs? In other words, does human feedback, especially on programming style (readability, straightforward design, etc) make a difference?","The rise of very large programming courses has led to a near total reliance on autograders instead of human feedback. In industry, code quality is important, so it would be useful to know if current educational practice supports development of good development practices.",I can decide whether to move to autograding or not.,
221,57,3,Languages and Tools,Languages and Tools,Languages and Tools,Languages and Tools,Languages and Tools,What is the best hardware (such as programmable boards and robots) to use for introductory computing classes?,What is the best hardware to purchase for computer science classes.,Not sure about Pi versus Microbit. Other alternatives?,Make wise purchases with our very limited budget,
222,46,2,Pipeline,Pipeline,Languages and Tools,Languages and Tools,Pipeline,What is the best age at which to start teaching children a text-based programming language?,What is the best age to start students with a text-based programming language,It scares me a bit when I have Year 9's coming in saying they have 'already done Python'. It makes me worried Primary and Intermediate schools are rushing students and using all the resources they can as soon as they can and not leaving anything for Secondary schools. I also find that the way they have been taught is not 'best practice' as far as the industry is concerned,Same as with Question One. ,
223,14,3,Pipeline,Pipeline,Pipeline,Pipeline,Pipeline,What should I tell students who have impostor syndrome or self-doubt after hearing companies say that they only want the best of the best?,"When I go to work place presentations, they only seem to want the best of the best. If I have an average student am I best to tell them to stop wasting their time and to find a different subject that may bring them more success?","Because it is in each students best interest to study courses that will bring them ""success"". ","Tell them the ""truth"" so they can decide earlier rather than later.",
224,31,2,Assessment,Languages and Tools,Assessment,Assessment,Assessment,Do exams taken on a computer measure learning more accurately than written exams?,Do exams for novice programming students taken on the computer (e.g. involving writing and testing programs) more accurately measure student learning?,Our introductory programming courses for novices are taken on the computer. It can be challenging to convince my colleagues that doing so is a good idea. There is also a cost associated with the model.,Use it to inform possible changes to our exam policies in introductory programming courses.,
225,80,4,Predictors,Predictors,Student Behavior,Predictors,Student Behavior,Do students’ attitudes toward making mistakes predict how much they will enjoy computing courses and/or how well they will do in them?,Does the way students view making mistakes predict how much they enjoy courses teaching programming.,To learn programming you end up making lots of mistakes and hopefully learning from them. Some students look back at all the mistakes they made, others at all the mistakes they corrected/overcame. Can we predict based on some general assessment of how they view mistakes?,Tell my students.
226,73,3,Mental Models,Mental Models,Mental Models,Curriculum,Student Understanding,Is there such a thing as “computational thinking”?,"What is the conceptual structure of computing? Put another way, what is an empirically defensible definition of ""computational thinking?""",We do not have a body of evidence to inform decisions about what languages to teach or to study transfer of knowledge between languages. We don't have our conceptual equivalent of Newton's three laws or Evolutionary theory,Reorganize course content and plan my own research studies.,
227,11,2,Student Behavior,Student Behavior,Student Behavior,Student Behavior,Student Behavior,How can we motivate students in computing classes to do assigned readings?,How do I get university computer science students to read assigned readings? ,Because computer science students don't read enough,Hopefully increase reading,
228,22,3,Predictors,Predictors,Pedagogy,Predictors,Predictors,To what extent is being technically proficient in using a computer helpful to learning computer science?,Is being really efficient with 'using technology' helpful in learning computer science?,is there a growing disconnect between users and makers of technology?,not sure - get more information out there??,
229,16,2,Inclusivity,Inclusivity,Inclusivity,Inclusivity,Inclusivity,How do students with hearing disabilities learn computing?,How deaf people learn computer science?,Our research group work with deaf people literacy. It seems interesting understanding if that people learn different from non-deaf.,Understand how deaf people learn computer science could guide approaches to teach it to them.,
230,70,1,Pedagogy,Inclusivity,Pedagogy,Pedagogy,Pedagogy,What methods for teaching problem solving skills are most effective for different age groups?,"What methods for teaching problem solving skills work well with different age ranges?  (perhaps this could be limited to KeyStage 2, 3, 4 and 5 rather than actual ages)",So I can ensure the techniques we use are appropriate for each age group.,Plan lessons to teach the most effective method of problem solving in each age rang.,
231,33,3,Inclusivity,Inclusivity,Predictors,Predictors,Inclusivity, Predictors,What factors in K-12 education best predict success for female students in college-level computing and beyond?,what factors in 5-12 education are linked to success for women in CS in college and beyond,"i teach at a girls school and I have students who are fired up about CS now, but there are other challenges ahead (societal, expectations) that I want them to be ready to tackle.","Depends on the answer! Could start extracurricular or add to curriculum, bring in role models, conversations about what it looks like to be a woman in engineering."
232,11,3,Student Behavior,Student Behavior,Student Behavior,Engagement,Student Behavior,How can we motivate students in large courses to participate in exercises?,How do I get univesity computer science students to take in class activities and lab assignments seriously?,Because they don't seem to engage with assigned tasks,Increase engagement,
233,84,1,Predictors,Predictors,Predictors,Predictors,Predictors,Is it possible to predict how well someone will do as a computing professional before they enrol in a college-level computing program?,Are there academic and other backgrounds and characteristics that are not conductive for becoming a successful computing professional that can be recognized early on? Are these removable/treatable/removable/can they be overcome?,"Admission and teaching strategies could be improved, carriers of students properly managed.",see prev. reply,
234,56,2,Pedagogy,Poor Question,Pedagogy,Poor Question,DISCARD,DISCARD,What are the major problems involved in learning this content,Know the problems to address them,Assert the oroblem,
235,78,2,Pedagogy,Pedagogy,Pedagogy,Student Behavior,Pedagogy,How do students respond to open-ended exercises in programming courses?,How students respond to open-ended exercises in programming courses?,"I would like to know, for instance, if students commonly critisize situation where they cannot rely on examples",Transition from schools to university would be better understood. School work tend be about 'information transfer' and this previous experience may have impact (anecdotally it has) on students' reactions to open-ended assignment ,
236,100,2,Languages and Tools,Curriculum,Languages and Tools,Languages and Tools,Languages and Tools,What is the best language to use when teaching introductory programming courses?,"If students are to take only one course in CS, which language is the best to use (at grade 10 or 11 level)?","Many students do not have time to fit all of grade 10, 11 and 12 courses in their schedule. Which language will have the greatest impact and best understaning of programming conepts.","We are very flexible in what language we use, as long as it's available on our networks. I may adjust my courses.",
237,119,2,Pedagogy,Curriculum,Mental Models,Curriculum,Student Understanding,What fundamental programming concepts are the most challenging for students?,What are the programming concepts that students find the most difficult and what are the most effective tools/techniques for teaching those concepts?,To inform my teaching,Use it in my teaching,
238,45,2,Broader Social Context,Broader Social Context,Awareness,Curriculum,Broader Impact,"Will programming ever be regarded as being as important to learn as reading, writing, or arithmetic?","Do you think that coding will ever be as important to learn as reading, writing, maths?",I want to know how important my students see computing/digital technologies. Is it an add-one skill or a primary school that is essential for moving through this world (even if they don't become programmers),It would be a topic of class discussion for me to get a better idea of how my students see the world,
239,6,5,Pipeline,Pipeline,Pipeline,Pipeline,Pipeline,What knowledge and skills are new entrants into computing programs most often missing that they need?,What is the most common skill that students doing into further education are missing?,If there is any major gaps in students understanding when leaving school.,Modify course to fill gaps.,
240,103,3,Broader Social Context,Broader Social Context,Poor Question,Pedagogy,Broader Impact,Can we/should we integrate computing or computational thinking into the entire high school curriculum?,Ways to integrate computational thinking in all contents in a high school curriculum.,Computational thinking should be integrated with all high school courses since technology is part of every day life.,I do integrate technology in my teaching and want all content area teachers integrate technology into their teaching and not just for technologies sack.,
241,99,4,Curriculum,Curriculum,Curriculum,Poor Question,DISCARD,DISCARD,"Are 9-12 placing adequate emphasis of 3D spatial reasoning, sketching and visualization?",Many undergrad educators are frustrated with the poor 3D skills of their students (especially in STEM majors),"I would have a strong argument for 6-12 schools to be purchasing computing gear with 3D graphics acceleration.   One casualty of the ""chromebook"" purchasing trend is buying machines without 3D graphics chips based on lowest cost.  Also, it would strengthen demand for courseware such as our Algorithmic Geometry, which immerses students in 3D sketching, visualization, and 3D graphics programming.",
242,14,1,Pedagogy,Pedagogy,Pedagogy,Pedagogy,Pedagogy,What are the most effective ways to teach people how to program?,"When teaching students to program, is there a pedagogy I should follow?",Because I don't know if one exists and it seems as if I teach it in the same way I learnt it at university.,Adapt how I teach programming,
243,65,2,Inclusivity,Inclusivity,Inclusivity,Inclusivity,Inclusivity,Do early outreach activities influence girls’ decision to enter computing?,Do early outreach activities (ie. grades 5/6) really have any impact on girls entering the stem field?,Curious to know if these help at all.,Start doing more outreach,
244,30,4,Poor Question,Broader Social Context,Poor Question,Poor Question,DISCARD,DISCARD,"Since such real basic questions above are unanswered, one must ask how come?",The social aspect should be explored more. Most computing basics comes from a time of introverts. This must be exposed before we can move on.,"Open the field to ""normal"" people. Not those that are good at mentally playing computer (Bret Victor's quote)",
245,12,3,Languages and Tools,Languages and Tools,Languages and Tools,Languages and Tools,Languages and Tools,What effect (if any) does choice of first language have on the degree to which students can transfer understanding to programming in other languages?,"Which language leads to the most ""transferable"" learning?","I teach my students R because it has high level data manipulaton, analysis, and visualization functions that are useful. But so does Python, Julia, Matlab ... is there a better, more general starting point that opens up a broader range of computing languages?","Rest more easily at night that I'm not hindering my students future learning! Possibly change what I teach, and advocate for adoption of teaching such a fundamental language more broadly.",
246,66,4,Languages and Tools,Pedagogy,Languages and Tools,Languages and Tools,Languages and Tools,What is the most effective way to move students from blocks-based programming to text-based programming?,What's the most efficient way to move students from a visual programming languages to a typed programming language?,It's a common problem for our students.,Change the way we move students from visual to typed languages,
247,119,3,Pedagogy,Pedagogy,Student Behavior,Curriculum,Pedagogy,What content and teaching methods are most effective at helping students learn how to design software?,How do you instil students with the ability to achieve good software design? ,To inform my teaching,Use it in my teaching,
248,76,1,Poor Question,Pipeline,Poor Question,Broader Social Context,Teacher Development,What are the most important things for teachers to know about computing education research in order to collaborate effectively with researchers?,What do I need to learn from your research field to be able to write proper research programs in your field?,Because researchers don't know what is useful for us (as research software engineers) and usually gave us wrong information (so we waste our time...),"Be more efficient and save lots of time! I would love to have a set of ""Carpentries-like"" lessons on several research fields based on the experience of other research software engineers. ",
249,44,1,Inclusivity,Inclusivity,Curriculum,Assessment,Assessment, Curriculum,How much more effective (if at all) are introductory computing courses tailored for students in particular disciplines vs general introductory courses?,"How much better does an introductory course specifically designed for a set of students doing course X work for these students than a ""standard, general"" intro course designed for eg CS students?","I spend a lot of time modifying ""standard"" course approaches to how I *think* my Maths students would best receive the material. I wonder how much use this is, and how much benefit comes solely from being taught by someone they see as a Mathematician rather than someone they see as a CS/Engineer.","If there's little difference, try and convince management to shift time in the workload model from preparing material to more student classes and workshops."
250,79,2,Assessment,Pedagogy,Assessment,Assessment,Assessment,Do exams taken on a computer measure learning more accurately than written exams?,Do practical exams (e.g. students solving a given problem at a computer) have any benefit over traditional writen exams?,To know how best to access students in an exam setting.,Possibly change how I give exams.,
251,110,1,Languages and Tools,Languages and Tools,Languages and Tools,Languages and Tools,Languages and Tools,How do teachers and schools select the programming languages they teach?,How do you decided what language to teach?,"With the large number of programming languages available how do I know I am teaching them the ""right"" one?",Evaluate the effectiveness of my CS program.,
252,111,1,Languages and Tools,Languages and Tools,Languages and Tools,Languages and Tools,Languages and Tools,(How) do online/automated grading systems for programming affect learning outcomes?,Does tools like CodingBat help students to improve their programming Learning,Because I would be sure that this kind of tools help them in their learning ,"I  would ask them to solve as much as possible  exercises   for each outcome (assigments, loops, conditions, arrays, ) and I could include those exercises in the grades.",
253,112,5,Curriculum,Curriculum,Pedagogy,Curriculum,Curriculum, Pedagogy,"What are the benefits of teaching computing concepts across various subjects rather than concentrating them in a dedicated computing course?
","does teaching a concept across the curriculum make it clearer and more accessible to children? sequence in lit, math, art, pe etc etc not just in computer ed.... does it need to happen at the same time or is it better to stagger so concepts are revisited throught the yera but in diff contexts/ subjects",my gut says its good to be x curriculuar. teachers need evidence to make the effort. holy moly maybe i am wrong!,persuade teachers to make this effort 
254,69,1,Pedagogy,Pedagogy,Pedagogy,Pedagogy,Pedagogy,What methods are most effective for teaching computing to students in disciplines other than computing?,What instructional strategies have evidence supporting their successful use in intro to CS or non-majors computing courses?,Looking for evidence to support the use of particular instructional strategies in intro and non-majors computing courses.,I'm already investigating this topic as well,
255,34,5,Pedagogy,Pedagogy,Languages and Tools,Assessment,Assessment,Do exams taken on a computer measure learning more accurately than written exams?,"When testing students, is it better to have them write code on paper or create and test a functioning solution in an IDE?","It use both methods of testing and students definitely complain about having to hand write code without being able to check syntax and run it to fix logic errors. I see value in both but I would say it is easier to copy code from the person beside you if they are typing it on a huge monitor. Also, when typing and testing, I find the test takes longer and students want to continue until the code works perfectly. If they hand write, they don't know if it works and can submit it earlier. ",Change my testing method accordingly.,
256,44,4,Pedagogy,Curriculum,Predictors,Assessment,Predictors, Student Understanding,Are students who are required to write detailed documentation for code better able to reason about it?,Are students who are forced to write detailed documentation of code better able to reason about it?,"I weight the quality of code documentation very heavily in assessment, in part as it's ""the right thing to do"" (opinion?), and it part because I believe it makes the students get their assumptions down ""on paper"" and so think more about the code. The latter is definitely an assumption of mine that could well be incorrect.","If true, spread this knowledge amongst other colleagues to get them to put more weight on this. If not, de-emphasize it slightly in tightly-packed intro courses."
257,97,1,Pedagogy,Pedagogy,Pedagogy,Curriculum,Pedagogy,Is learning computing fundamentally different in any way from learning other subjects?,What are the fundamental differences between learning CS versus general education?,There is a lot of research on learning. I want to know how to best interpret that work for the context of learning CS,"Once I know how to better interpret that work, I will be better able to apply the results to my classroom.",
258,36,2,Inclusivity,Inclusivity,Inclusivity,Inclusivity,Inclusivity,Is proportional representation of women and other groups currently underrepresented in computing achievable?,Is a 50% female representatoin in intro computer science courses achieveable? ,I have about a 20% female representation in my intro computer science classes this year.  Is that the norm or can I do better?,I will implement new strategies in order to increase the female presence in these intro courses but I need to know what has shown to work.,
259,5,1,Professional Development,Awareness,Professional Development,Professional Development,DISCARD,DISCARD,How are teachers aware of the distiction between automation and efficiency?,It pinpoints an important principle of CS,Problematize how in-serice courses for teachers are designed,
260,41,4,Poor Question,Poor Question,Languages and Tools,Curriculum,Pipeline,To what extent if any are (potential) students confused by the number of options available to them for learning computing?,Are there too many programming options for optimal learning.,The past 30 years has seen an evolution of computing available to consumers. Each year the software becomes more complex. Learning today is not like it was many years ago. Is it better to ignore the many developments and confine learnign to a small easy to manage subset of computing?,Try to opimise student learning by controlling the scope of what they learn when writing software.,
261,112,3,Pedagogy,Pedagogy,Curriculum,Curriculum,Pedagogy,Is explicit discussion of abstract concepts such as patterns or debugging helpful when teaching novices to program?,does it help to talk explicitly about concepts such as generalisation/ abstraction or pattern or debugging or sequence or conditional - the keywords from primary nc 2014,maybe its better to get the children 'doing' these things even if they dont recognise the names of them or maybe for some children its better to be totally explicit and revisit what these words mean separately to using/ asking them to use the ideas in coding activities ,"children who struggle with generalisation are often the ones who struggle with coding- they are not quick to spot links, patterns, etc. making the ideas transparent and explicit seems a bit abstract but might help them to learn what other children seem to have absorbed intuitively",
262,34,1,Assessment,Assessment,Assessment,Languages and Tools,Pedagogy,How effective are online courses like code.org in teaching general programming skills to high school students?,How effective are the Code.org courses for helping highschool students learn general programming skills?,I currently use Code.org as an independent learning tool for grade 9-11 students with little to no programming experience. This introduction to programming using Code.org lasts for a week and then I transition to another language. I am wondering if this actually helps them. ,Continue and possibly increase my use Code.org if it is effective.,
263,58,1,Inclusivity,Inclusivity,Inclusivity,Inclusivity,Inclusivity,What are the best ways to teach fundamental programming concepts and skills to learners coming from low tech/low computer literacy backgrounds?,What is the best way to teach core programming concepts and skills to learners from lower-tech/low computer literacy backgrounds?,"Knowing the answer to this question will accelerate the educational programs we conduct, especially helping those students with poor math skills and/or those who grew up without computers",I would implement new teaching methods targeted at those students who need extra help with grasp the basics of computer progamming,
264,10,2,Inclusivity,Inclusivity,Inclusivity,Inclusivity,Inclusivity,What influences girls’ decisions to take K-12 computing classes?,Why do less girls pursue computer science courses?,The gender balance is a very prominent concerning issue at the moment,Try run interventions to address the root causes of this western issue.,
265,75,2,Inclusivity,Inclusivity,Inclusivity,Inclusivity,Inclusivity,What can teachers do to improve participation by underrepresented groups in computing?,What can I do in CS1 to attract women and other minorities to the CS major?,To increase diversity in our CS program.,"If possible in my environment, apply those techniques.",
266,40,3,Languages and Tools,Languages and Tools,Languages and Tools,Languages and Tools,Languages and Tools,What are the relative merits of using drag-and-drop/blocks-based tools vs textual tools for introductory programming classes?,How helpful are IDEs/GUIs/fancy editors for learners?,"20 years ago, I used the IDEs that came with e.g. VB and Delphi, but since write code only in vim with some plugins for editing, linting, formatting, etc. Is it better to have learners embrace Sublime or Atom or VSCode or steer them to vim/emacs?","I don't personally like most code editors since I have committed so much time to learning vim, but it doesn't seem fair to expect learners to grapple with even the tools used to type a program. But do they become dependent on those programs? Is it better to use fewer features and just learn how to look up functions, format code on one's own?",
267,117,2,Pedagogy,Languages and Tools,Pedagogy,Languages and Tools,Pedagogy,What is the most effective way to provide automated feedback to students in programming classes?," What types of feedback can be generated automatically, and how can this be made most useful? "," Automated processes can generate some types of feedback, for example using unit tests and style checkers. This can save staff time and enable students to get feedback quickly (but see question 1) and at any time. However, it requires significant up-front effort to implement, which must be directed where it does the most good. I would like to reduce the staff time in our courses spent correcting and explaining code errors that could be detected automatically. However, I want to avoid replacing this with automated feedback that doesn't provide the same benefits, and am also concerned that giving instant feedback may sometimes encourage students to program by trial and error instead of understanding the problems and solutions. ", Implement effective automatic feedback mechanisms in our courses. ,
268,80,3,Pedagogy,Pedagogy,Pedagogy,Curriculum,Pedagogy,Are recursive functions best taught and understood using proof rules (such as induction) or hand simulation?,Are recursive functions best written/understood/debugged by using proof rules (like induction) or hand simulation?,It would affect how I would teach this important topic,Change how I teach,
269,31,1,Mental Models,Curriculum,Mental Models,Curriculum,Curriculum,How does being taught for-each loops first affect a student's ability to later learn to write indexed loops?,Does being taught for-each loops (e.g. as in Python) as a first looping construct impair students' ability to write indexed loops (e.g. loops that manipulate indices)?,"We use Python as the first programming language, and my colleagues complain about the ability of students to write indexed loops.","Discuss it with my colleagues, regardless of the result.",
270,118,3,Predictors,Predictors,Predictors,Predictors,Predictors,(How) can we predict which of the skills we teach students they will then go on to use?,Is there a way to predict which participants will go on to apply a skill to their own research that can be measured during the training itself?,There is not necessarily a correlation between those participants who I think have learned the most during a training and those who actually try something new afterwards. ,"If I had a better sense of who has been motivated to try a skill following a training, I could improve my follow-up and allocated resources to them. ",
